"","NO.","url","Coding.combination","Date"
"931",976,"http://www.livemint.com/2009/12/07213527/Pledges-for-emission-cuts-on-t.html","GP, A2, D4, IT4",2009-12-01
"932",977,"http://epaper.livemint.com/Default.aspx?Id=383772593230504F55746B3939796E35686879687131313243376442413039475269716F68456D4F3163733D","GP, IA2, ID2, IT8",2009-12-01
"933",978,"http://online.wsj.com/article/SB126013960013179181.html","GP, A6, D6+D2, T9",2009-12-01
"934",979,"http://www.livemint.com/2009/12/07235214/UN-climate-chief-defends-findi.html","GP, A1, D5, T2",2009-12-01
"935",980,"http://www.livemint.com/2009/12/07224446/Climategate-follow-the-money.html","GP, A6, D1, T9",2009-12-01
"936",981,"http://www.nationalpost.com/story.html?id=2312246","GP, A1, D5, T2",2009-12-01
"937",982,"http://www.indianexpress.com/news/on-day-1-a-solution-lets-tone-down-expectations/551409/0","GP, A2, D4, IT2",2009-12-01
"938",983,"http://www.indianexpress.com/news/top-climate-economist-projects-success-if-countries-keep-their-2020-promises/551365/0","GP, IA2, IT4",2009-12-01
"939",984,"http://www.indianexpress.com/news/India-role-crucial--says-Danish-PM/551359","GP, IA2, D2+ ID2, IT8, ",2009-12-01
"940",985,"http://www.indianexpress.com/news/last-best-chance-two-weeks-that-could-save-earth/551360/0","GP, A1 D4+D5+D2, T8",2009-12-01
"941",986,"http://www.indianexpress.com/news/trading-failure/551084/","BZ, IA2, IT1",2009-12-01
"942",987,"http://www.indianexpress.com/news/the-planets-price-tag/551307/0","GP, A6, T2",2009-12-01
"943",988,"http://www.indianexpress.com/news/what-about-per-capita-trash/551215/0","BZ, A6, D5, T9",2009-12-01
"944",989,"http://www.indianexpress.com/news/eye-on-copenhagen-summit-indias-climate-change-strategy-discussed-at-book-release-in-city/551228/0","GP, IA2, ID5, IT2 ",2009-12-01
"945",990,"http://www.livemint.com/2009/12/08214724/G77-slams-Danish-draft-plan.html","GP, A2, D2, IT9 ",2009-12-01
"946",991,"http://www.livemint.com/2009/12/08214548/Diamond-hub-sparkles-in-India.html","GP, A1, ID8+ID5 + ID6",2009-12-01
"947",992,"http://www.livemint.com/2009/12/08212759/The-next-innovation-wave.html","GP, IA4, IT2",2009-12-01
"948",994,"http://lite.epaper.timesofindia.com/getpage.aspx?publabel=TOI&city=Mumbai","GP, A1, D2, T6 ",2009-12-01
"949",995,"http://www.financialexpress.com/news/us-environment-regulator-ruling-empowers-obama-ahead-of-visit/551626/0","GP, A1, D2, T6",2009-12-01
"950",996,"http://www.hindustantimes.com/special-news-report/rssfeed/US-green-step-forward/Article1-484481.aspx","GP, A1, T6",2009-12-01
"951",997,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=15&pagesize=&edid=&edlabel=TOIM&mydateHid=09-12-2009&pubname=&edname=&publabel=TOI","GP, IA2, ID2, IT2",2009-12-01
"952",1001,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=16&pagesize=&edid=&edlabel=TOIM&mydateHid=09-12-2009&pubname=&edname=&publabel=TOI","S, A2, IT6",2009-12-01
"953",1002,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=20&pagesize=&edid=&edlabel=TOIM&mydateHid=09-12-2009&pubname=&edname=&publabel=TOI","GP, A1, D2, T9",2009-12-01
"954",1004,"http://www.financialexpress.com/news/column-dont-create-licence-raj-in-climate/551557/0","GP, A5, IT1",2009-12-01
"955",1005,"http://www.financialexpress.com/news/today-to-2020-we-are-less-intense-than-china/551564/0","IP, IA5, IT4 ",2009-12-01
"956",1006,"http://www.financialexpress.com/news/china-india-and-brazil-ahead-in-carbon-credits/551570/0","BZ, IA2, IT6",2009-12-01
"957",1007,"http://www.financialexpress.com/news/vocal-on-world-stage-govt-fails-to-champion-green-cause-at-home/551607/0","IP, IA2, D6, IT9",2009-12-01
"958",1008,"http://www.financialexpress.com/news/govts-proposal-a-mixed-bag-for-india-inc/551624/0","BZ, IA2, ID6, IT6",2009-12-01
"959",1009,"http://www.financialexpress.com/news/Chinas-CO2-cut-targets-not-enough-says-report/551632/","GP, A1, D6, T1",2009-12-01
"960",1010,"http://www.financialexpress.com/news/bangladesh-lays-claim-to-15-of-any-climate-fund/551629/","GP, A1, D2, T1",2009-12-01
"961",1011,"http://www.business-standard.com/india/news/india-willing-to-consider-concernsbasic-draft/379020/","GP, A1, ID2, IT8",2009-12-01
"962",1012,"http://www.business-standard.com/india/news/subir-roy-road-aheadcopenhagen/378958/","GP, IA4, IT6",2009-12-01
"963",1013,"http://www.business-standard.com/india/news/small-car-makerbig-energy-saver/379001/","BZ, IA2, ID6, IT4",2009-12-01
"964",1014,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=10&pagesize=&edid=&edlabel=ETM&mydateHid=09-12-2009&pubname=&edname=&publabel=ET","BZ, IA1, IT6 ",2009-12-01
"965",1017,"http://economictimes.indiatimes.com/articleshow/5316693.cms?flstry=1","GP, IA4, IT2",2009-12-01
"966",1018,"http://www.thehindubusinessline.com/2009/12/09/stories/2009120950730900.htm","GP, IA5,  ID2+ D5, IT9",2009-12-01
"967",1019,"http://www.hindu.com/2009/12/09/stories/2009120955041100.htm","GP, A1, ID2, IT2",2009-12-01
"968",1020,"http://www.hindu.com/2009/12/09/stories/2009120957060300.htm","GP, IA2, ID8, IT2",2009-12-01
"969",1021,"http://www.indianexpress.com/news/team-india-tries-to-paper-over-cracks-saran-to-brief-pm/551842/0","IP, IA2, ID2, IT8",2009-12-01
"970",1022,"http://www.indianexpress.com/news/learn-to-say-yes/551772/0","IP, IA5, IT9",2009-12-01
"971",1023,"http://www.indianexpress.com/news/danish-draft-an-attempt-to-kill-kyoto-protocol-say-developing-countries/551816/0","GP, A2, D2+ID2, IT3",2009-12-01
"972",1024,"http://www.indianexpress.com/news/India--China-cuts-behind-Obama-schedule-rejig/551809","GP, A1, D2, IT4",2009-12-01
"973",1025,"http://www.indianexpress.com/news/current-decade-set-to-be-warmest-since-1850-un/551813/0","S, A1, D1, T1",2009-12-01
"974",1026,"http://www.indianexpress.com/news/hacking-the-debate/551765/0","GP, A6, T9 ",2009-12-01
"975",1028,"http://www.hindu.com/2009/12/10/stories/2009121052961400.htm","GP, A6, D2, T9",2009-12-01
"976",1029,"http://www.longislandpress.com/2009/12/09/climate-documents-spark-rich-vs-poor-clash/","GP, A1, D2+D3, T6",2009-12-01
"977",1030,"http://www.indianexpress.com/news/us-draws-a-red-line-trust-not-enough-need-scrutiny-of-all-action/552369/0","GP, A2, D2, IT2",2009-12-01
"978",1031,"http://www.financialexpress.com/news/danish-draft-vs-basic-draft-is-the-great-fight-at-climate-change-meet/552090/0","GP, A2, IT8",2009-12-01
"979",1032,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=10&pagesize=&edid=&edlabel=ETM&mydateHid=10-12-2009&pubname=&edname=&publabel=ET","GP, A2, D2, IT8",2009-12-01
"980",1033,"http://www.hindustantimes.com/India-China-resist-rich-nations-at-Copenhagen-meet/H1-Article3-484828.aspx","GP, A2, ID2, IT8",2009-12-01
"981",1034,"http://www.financialexpress.com/news/richpoor-chasm-adds-heat-to-climate-talks/552103/0","GP, A2, D3+ID3+D2, T9",2009-12-01
"982",1035,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=21&pagesize=&edid=&edlabel=TOIM&mydateHid=10-12-2009&pubname=&edname=&publabel=TOI","GP, A2, IT8",2009-12-01
"983",1037,"http://www.hindu.com/2009/12/10/stories/2009121052991400.htm","GP, A1,  ID2, IT2",2009-12-01
"984",1038,"http://www.hindu.com/2009/12/10/stories/2009121051260900.htm","GP, A6, D2+D5+D6, T6",2009-12-01
"985",1039,"http://www.indianexpress.com/news/going-cheney-on-climate/552233/0","GP, A6, T2",2009-12-01
"986",1040,"http://www.indianexpress.com/news/intensity-focus/552249/0","GP, IA5, IT1",2009-12-01
"987",1041,"http://www.indianexpress.com/news/dont-commit-republicans-tell-obama/552294/","GP, A1, D2, IT3",2009-12-01
"988",1043,"http://www.indianexpress.com/news/us-may-follow-dual-path-in-emission-cuts/552299/","GP, A1, D2, T6",2009-12-01
"989",1044,"http://beta.thehindu.com/sci-tech/energy-and-environment/article61251.ece?css=print","S, A6, ",2009-12-01
"990",1045,"http://www.ibtimes.com/articles/20091209/update-china-urgess-increase-copenhagen-offer.htm","GP, A1, D2, T2",2009-12-01
"991",1046,"http://wap.business-standard.com/storypage.php?id=5&autono=379117","BZ, IA2, ID6, IT4",2009-12-01
"992",1047,"http://www.business-standard.com/india/news/india-against-%5Cuncooked-papers%5C-at-copenhagen/379118/","GP, A1, ID2, IT9",2009-12-01
"993",1048,"http://www.financialexpress.com/news/column-copenhagen-should-avoid-dohas-fate/552052/0","GP, A5, IT6",2009-12-01
"994",1049,"http://www.financialexpress.com/news/industry-chambers-split-over-emission-target/552104/0","IP, IA2, ID6, IT8",2009-12-01
"995",1050,"http://www.financialexpress.com/news/agriculture-can-be-part-of-climate-change-mitigation-strategy/552069/0","IS, IA5, IT2",2009-12-01
"996",1055,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=22&pagesize=&edid=&edlabel=TOIM&mydateHid=10-12-2009&pubname=&edname=&publabel=TOI","GP, A1, T6",2009-12-01
"997",1057,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=26&pagesize=&edid=&edlabel=TOIM&mydateHid=10-12-2009&pubname=&edname=&publabel=TOI","GP, A6, D2+D5+D6, T6",2009-12-01
"998",1058,"http://www.hindustantimes.com/Think-global-act-global/H1-Article1-484763.aspx","BZ, IA4, IT2 ",2009-12-01
"999",1059,"http://www.hindustantimes.com/india/Extreme-weather-changes-hit-India/484828/H1-Article1-484784.aspx","S, A1, D3, T7",2009-12-01
"1000",1060,"http://www.hindustantimes.com/bangalore/Bangalore-s-green-warriors-do-their-bit/484828/H1-Article1-484781.aspx","BZ, IA1, ID3+ ID8, IT4",2009-12-01
"1001",1061,"http://www.hindustantimes.com/Disagreeing-to-agree/H1-Article1-484768.aspx","GP, A5, IT2",2009-12-01
"1002",1062,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=3&pagesize=&edid=&edlabel=TOIM&mydateHid=11-12-2009&pubname=&edname=&publabel=TOI","GP, A2, IT8",2009-12-01
"1003",1063,"http://www.financialexpress.com/news/India-sticks-to-its-stand-on-emission-cut/552633/","GP, A1, D2 + ID2, IT2",2009-12-01
"1004",1064,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=22&pagesize=&edid=&edlabel=TOIM&mydateHid=11-12-2009&pubname=&edname=&publabel=TOI","GP, A2, IT8",2009-12-01
"1005",1065,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=26&pagesize=&edid=&edlabel=TOIM&mydateHid=11-12-2009&pubname=&edname=&publabel=TOI","GP, IA5, IT3",2009-12-01
"1006",1066,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=27&pagesize=&edid=&edlabel=TOIM&mydateHid=11-12-2009&pubname=&edname=&publabel=TOI","GP, A1, D2, T9",2009-12-01
"1007",1067,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=9&pagesize=&edid=&edlabel=ETM&mydateHid=11-12-2009&pubname=&edname=&publabel=ET","GP, IA2, IT8",2009-12-01
"1008",1070,"http://epaper.hindustantimes.com/ArticleText.aspx?article=11_12_2009_001_023&kword=&mode=1","GP, A2, D2, IT8",2009-12-01
"1009",1071,"http://epaper.hindustantimes.com/ArticleText.aspx?article=11_12_2009_010_008&kword=&mode=1","BZ, IA5 IT10",2009-12-01
"1010",1072,"http://epaper.hindustantimes.com/ArticleText.aspx?article=11_12_2009_011_004&kword=&mode=1","GP, IA5, IT9",2009-12-01
"1011",1073,"http://epaper.hindustantimes.com/ArticleText.aspx?article=11_12_2009_011_003&kword=&mode=1","BZ, A2, D6, IT6",2009-12-01
"1012",1074,"http://epaper.hindustantimes.com/ArticleText.aspx?article=11_12_2009_011_005&kword=&mode=1","S, IA2, D1, IT1",2009-12-01
"1013",1075,"http://www.hindu.com/2009/12/11/stories/2009121157160400.htm","IP, IA2, ID2,  IT4",2009-12-01
"1014",1076,"http://www.thehindu.com/opinion/op-ed/article63324.ece","S, A6, D5, T7, ",2009-12-01
"1015",1077,"http://www.hindu.com/2009/12/11/stories/2009121151920900.htm","S, A6,  D1+D5+ D8, T2 ",2009-12-01
"1016",1078,"http://epaper.livemint.com/ArticleText.aspx?article=11_12_2009_006_020&kword=&mode=1","GP, A2, ID2+D2+D4, IT4",2009-12-01
"1017",1079,"http://epaper.livemint.com/ArticleText.aspx?article=11_12_2009_006_023&kword=&mode=1","GP, A1, T8",2009-12-01
"1018",1080,"http://www.business-standard.com/india/news/carbon-credits-offer-usrs-28000-cr-opportunity/379231/","GP, IA2, ID2+ID6, IT6 ",2009-12-01
"1019",1081,"http://www.business-standard.com/india/news/newsmaker-chandrashekhar-dasgupta/379166/","IP, IA4, IT9",2009-12-01
"1020",1082,"http://www.business-standard.com/india/news/eu-leaders%5C-side-summit-may-not-change-much/379223/","GP, A2, D3, IT8",2009-12-01
"1021",1083,"http://www.financialexpress.com/news/column-change-the-rules-of-climate-game/552599/0","GP, IA5, IT2",2009-12-01
"1022",1084,"http://www.financialexpress.com/news/CII-team-to-attend-Cop15-summit/552637/","BZ, IA2, IT6 ",2009-12-01
"1023",1085,"http://www.financialexpress.com/news/finance-gap-could-wreck-climate-talks-says-soros/552636/","GP, A1, D6, T1",2009-12-01
"1024",1086,"http://www.hindu.com/2009/12/12/stories/2009121252740900.htm","GP, A6, D7, T1",2009-12-01
"1025",1087,"http://www.hindu.com/2009/12/12/stories/2009121252730900.htm","BZ, A6, T1",2009-12-01
"1026",1088,"http://epaper.financialexpress.com/FE/FE/2009/12/12/ArticleHtmls/12_12_2009_006_008.shtml?Mode=1","BZ, IA4, IT4",2009-12-01
"1027",1089,"http://epaper.financialexpress.com/FE/FE/2009/12/12/ArticleHtmls/12_12_2009_009_007.shtml?Mode=1","GP, A2, D2, IT6",2009-12-01
"1028",1090,"http://www.indianexpress.com/news/india-rejects-first-official-draft-says-wait-for-ours/553293/0","GP, A2, D2, IT9",2009-12-01
"1029",1091,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=24&pagesize=&edid=&edlabel=TOIM&mydateHid=12-12-2009&pubname=&edname=&publabel=TOI","GP, A2, IT9",2009-12-01
"1030",1092,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=11&pagesize=&edid=ET&edlabel=ETM&mydateHid=12-12-2009&pubname=Economic+Times+-+Mumbai&edname=Mumbai&publabel=ET","GP, A1, D5, T1",2009-12-01
"1031",1093,"http://www.hindustantimes.com/Please-all-drafts-on-climate-please-none/H1-Article3-485616.aspx","GP, A2, D3+ID2, IT6",2009-12-01
"1032",1095,"http://epaper.financialexpress.com/FE/FE/2009/12/12/ArticleHtmls/12_12_2009_010_002.shtml?Mode=1","GP, A1, D2+ID2, IT3",2009-12-01
"1033",1096,"http://www.business-standard.com/india/news/eu-heads-commit-rs-13760-cr-aid-for-ldcs/379329/","GP, A2, D2, IT6",2009-12-01
"1034",1097,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=29&pagesize=&edid=&edlabel=TOIM&mydateHid=12-12-2009&pubname=&edname=&publabel=TOI","GP, A1, D2+D3, T6",2009-12-01
"1035",1098,"http://epaper.financialexpress.com/FE/FE/2009/12/12/ArticleHtmls/12_12_2009_010_003.shtml?Mode=1","GP, IA5, IT2",2009-12-01
"1036",1099,"http://www.indianexpress.com/news/indias-key-negotiator-makes-his-voice-heard-against-rich-countries/553280/0","GP, A2, ID2, IT2",2009-12-01
"1037",1100,"http://www.indianexpress.com/news/us-china-turn-up-the-heat/553281/0","GP, A2, D2, IT9",2009-12-01
"1038",1101,"http://www.indianexpress.com/news/bimstec-meet-also-highlights-climate-change/553277/","GP, IA2, ID2, IT1",2009-12-01
"1039",1103,"http://in.news.yahoo.com/32/20091212/1066/twl-climate-change-will-leave-5mn-indian.html","IS, A2, ID2+D5 IT7",2009-12-01
"1040",1104,"http://www.hindustantimes.com/Aam-aadmi-wows-panelists-in-Copenhagen/H1-Article3-485607.aspx","GP, A2, ID8, IT3",2009-12-01
"1041",1105,"http://www.hindustantimes.com/rssfeed/edits/Talking-shop-with-Beijing/Article1-485543.aspx","GP, IA5, IT6",2009-12-01
"1042",1106,"http://www.business-standard.com/india/news/t-n-ninansingh-doctrine/379272/","IP, IA4, IT6",2009-12-01
"1043",1107,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=15&pagesize=&edid=&edlabel=TOIM&mydateHid=13-12-2009&pubname=&edname=&publabel=TOI","GP, A2, IT8",2009-12-01
"1044",1108,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=21&pagesize=&edid=&edlabel=TOIM&mydateHid=13-12-2009&pubname=&edname=&publabel=TOI","GP, A1, D2, T9",2009-12-01
"1045",1109,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=1&pagesize=&sections=yes&edid=ET&edlabel=ETM&mydateHid=13-12-2009&pubname=Economic+Times+-+Mumbai&edname=Mumbai&publabel=ET","GP, A2, IT8",2009-12-01
"1046",1110,"http://www.hindu.com/2009/12/13/stories/2009121358010100.htm","GP, A1, D2+ID2, IT9",2009-12-01
"1047",1111,"http://www.financialexpress.com/news/india-does-a-rethink-to-wait-and-watch-on-draft/553418/0","GP, A2, ID2, IT6",2009-12-01
"1048",1112,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=4&pagesize=&edid=ET&edlabel=ETM&mydateHid=13-12-2009&pubname=Economic+Times+-+Mumbai&edname=Mumbai&publabel=ET","GP, IA2, ID2, IT2",2009-12-01
"1049",1114,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=22&pagesize=&edid=&edlabel=TOIM&mydateHid=13-12-2009&pubname=&edname=&publabel=TOI","GP, IA4, IT3",2009-12-01
"1050",1115,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=27&pagesize=&edid=&edlabel=TOIM&mydateHid=13-12-2009&pubname=&edname=&publabel=TOI","BZ, IA5, IT1",2009-12-01
"1051",1116,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=5&pagesize=&edid=ET&edlabel=ETM&mydateHid=13-12-2009&pubname=Economic+Times+-+Mumbai&edname=Mumbai&publabel=ET","GP, A1, D2, T6 ",2009-12-01
"1052",1117,"http://www.hindu.com/2009/12/13/stories/2009121353911200.htm","GP, A1, D2, T3",2009-12-01
"1053",1118,"http://www.thehindubusinessline.com/2009/12/13/stories/2009121351740500.htm","GP, A2, D5, IT6",2009-12-01
"1054",1120,"http://epaper.indianexpress.com/IE/IEH/2009/12/13/ArticleHtmls/13_12_2009_001_007.shtml?Mode=1","GP, A2, IT4",2009-12-01
"1055",1121,"http://www.indianexpress.com/news/in-summit-hot-air-their-15-minutes-of-cool/553511/0","BZ, A2, ID8,  IT10",2009-12-01
"1056",1122,"http://epaper.hindustantimes.com/ArticleText.aspx?article=13_12_2009_001_012&kword=&mode=1","GP, A2, D2+ID2, IT8",2009-12-01
"1057",1123,"http://epaper.hindustantimes.com/ArticleText.aspx?article=13_12_2009_012_003&kword=&mode=1","BZ, IA4, IT10",2009-12-01
"1058",1124,"http://epaper.hindustantimes.com/ArticleText.aspx?article=13_12_2009_015_003&kword=&mode=1","BZ, A2, ID5, IT6",2009-12-01
"1059",1125,"http://epaper.hindustantimes.com/ArticleImage.aspx?article=13_12_2009_015_002&mode=1","BZ, A2, D3+D6+D4, IT1",2009-12-01
"1060",1126,"http://www.business-standard.com/india/news/climate-changeenergy-issues/379356/","GP, IA5, IT2",2009-12-01
"1061",1127,"http://www.business-standard.com/india/news/plentycover/379346/","GP, IA5, IT2",2009-12-01
"1062",1128,"http://www.business-standard.com/india/news/climate-policy-options-in-east-west-squeeze/379347/","GP, IA5, IT2",2009-12-01
"1063",1129,"http://uk.reuters.com/article/idUKTRE5BB0QU20091212?sp=true","GP, A1, D2+D4, T6",2009-12-01
"1064",1131,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=3&pagesize=&edid=ET&edlabel=ETM&mydateHid=14-12-2009&pubname=Economic+Times+-+Mumbai&edname=Mumbai&publabel=ET","GP, A2, ID2, IT2",2009-12-01
"1065",1132,"http://www.indianexpress.com/news/india-tones-down-opposition-draft-text-a-good-starting-point/553860/0","GP, A2, ID2, IT2",2009-12-01
"1066",1133,"http://www.livemint.com/2009/12/13235411/India-cuts-differences-won8.html","GP, A2, ID2, IT2",2009-12-01
"1067",1134,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=13&pagesize=&edid=&edlabel=TOIM&mydateHid=14-12-2009&pubname=&edname=&publabel=TOI","GP, A1, D5, T9",2009-12-01
"1068",1135,"http://www.hindu.com/2009/12/14/stories/2009121457690100.htm","GP, A1, D2+ D4, T2",2009-12-01
"1069",1136,"http://www.business-standard.com/india/news/ramesh-draws-red-lines-for-negotiators/379492/","GP, A2, D2, IT2",2009-12-01
"1070",1138,"http://www.livemint.com/2009/12/13224525/Nations-need-to-bridge-vast-di.html","GP, A2, D2+D5, IT1",2009-12-01
"1071",1139,"http://www.business-standard.com/india/news/half-time-in-copenhagen-shows-unclear-horizon/379468/","GP, A2, ID2, IT8",2009-12-01
"1072",1140,"http://www.indianexpress.com/news/after-a-week-of-more-gas-than-air-meet-keeps-hope-breathing/553782/0","GP, A2, IT6",2009-12-01
"1073",1141,"http://www.financialexpress.com/news/more-gas-than-air-yet-hope-floats/553606/0","GP, A2, IT6",2009-12-01
"1074",1142,"http://www.financialexpress.com/news/Legally-binding-emission-cut-not-acceptable-CII/553651/","GP, IA1, ID6, IT2",2009-12-01
"1075",1143,"http://www.business-standard.com/india/storypage.php?autono=379487","GP, IA2, ID6, IT2",2009-12-01
"1076",1145,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=14&pagesize=&edid=&edlabel=TOIM&mydateHid=14-12-2009&pubname=&edname=&publabel=TOI","BZ, IA2, D5, IT6",2009-12-01
"1077",1147,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=16&pagesize=&edid=&edlabel=TOIM&mydateHid=14-12-2009&pubname=&edname=&publabel=TOI","GP, A5, IT2",2009-12-01
"1078",1149,"http://www.indianexpress.com/news/alarm-bells-over-valleys-largest-glacier/553795/0","IS, ID1, IT7",2009-12-01
"1079",1150,"http://www.indianexpress.com/news/green-ne-mps-demand-fair-deal-in-climate-debate/553777/","IP, IA2, ID2, IT2",2009-12-01
"1080",1151,"http://www.indianexpress.com/news/a-new-high-table/553749/0","GP, IA4, IT2",2009-12-01
"1081",1152,"http://www.financialexpress.com/news/fe-editorial-the-tuvalu-principle/553596/0","GP, IA5, IT2",2009-12-01
"1082",1153,"http://www.financialexpress.com/news/click-right-to-go-green/553617/0","GP, IA2, ID6+ ID8, IT6",2009-12-01
"1083",1154,"http://www.financialexpress.com/news/climate-change-to-affect-wheat-output-says-study/553628/0","IS, IA2, ID1, IT7",2009-12-01
"1084",1155,"http://www.livemint.com/2009/12/13235354/Quick-Edit--Copenhagen8217.html","GP, IA5, IT9 ",2009-12-01
"1085",1156,"http://www.livemint.com/2009/12/13212545/Oceans-turning-acidic-may-hav.html","S, A2, D4, IT7",2009-12-01
"1086",1157,"http://www.livemint.com/2009/12/13213420/Copenhagen-the-Woodstock-of-o.html","BZ, A2, D8, IT1",2009-12-01
"1087",1158,"http://www.livemint.com/column/2009/12/13213617/Global-warming-justice.html","GP, A5, IT2",2009-12-01
"1088",1159,"http://www.hindustantimes.com/rssfeed/mumbai/Three-less-inconvenient-truths/Article1-486193.aspx","BZ, IA2, ID8, IT4",2009-12-01
"1089",1160,"http://www.thehindubusinessline.com/2009/12/14/stories/2009121451160900.htm","GP, A5, IT3",2009-12-01
"1090",1162,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=17&pagesize=&edid=ET&edlabel=ETM&mydateHid=15-12-2009&pubname=Economic+Times+-+Mumbai&edname=Mumbai&publabel=ET","GP, A2, D2+D4, IT3",2009-12-01
"1091",1163,"http://www.indianexpress.com/news/backed-by-india-africa-stalls-meet/554366/0","GP, A2, ID2+D4, IT8",2009-12-01
"1092",1164,"http://www.financialexpress.com/news/no-deal-in-sight-africa-calls-timeout-on-talks/554140/0","GP, A2, D4, IT8",2009-12-01
"1093",1165,"http://www.livemint.com/2009/12/14220706/Climate-talks-to-resume-after.html","GP, A1, D2+D4, T8",2009-12-01
"1094",1166,"http://www.business-standard.com/india/news/climate-talks-hit-turbulence-as-ldcs-walk-out-agree-to-return/379591/","GP, A1, ID2+D2, IT6",2009-12-01
"1095",1167,"http://www.financialexpress.com/news/india-toughens-stand-walks-out-of-talks/554036/0","GP, A1, ID2, IT2",2009-12-01
"1096",1168,"http://www.indianexpress.com/news/in-summit-chill-chinaindia-warmth-turns-on-the-heat/554367/0","GP, IA2, D2, IT9",2009-12-01
"1097",1169,"http://www.indianexpress.com/news/china-may-not-seek-climate-funding-by-rich-countries-minister/554328/0","GP, A1, D2, IT9",2009-12-01
"1098",1170,"http://www.hindu.com/2009/12/15/stories/2009121557700100.htm","GP, A1, D2, IT6",2009-12-01
"1099",1171,"http://www.hindu.com/2009/12/15/stories/2009121555481000.htm","GP, IA2, D2, IT9",2009-12-01
"1100",1172,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=14&pagesize=&edid=&edlabel=TOIM&mydateHid=15-12-2009&pubname=&edname=&publabel=TOI","S, IA4, IT6",2009-12-01
"1101",1173,"http://www.indianexpress.com/news/summit-venue-heat-builds-up-inside-rush-and-chaos-outside/554331/","BZ, A2, IT1",2009-12-01
"1102",1174,"http://www.financialexpress.com/news/column-on-climate-start-thinking-domestic-too/554022/0","IP, IA4, IT2",2009-12-01
"1103",1175,"http://www.financialexpress.com/news/indias-commitment-to-climate-policy-is-evident-at-the-national-level/554037/0","GP, IA5, IT2",2009-12-01
"1104",1176,"http://epaper.hindustantimes.com/ArticleText.aspx?article=15_12_2009_001_011&kword=&mode=1","GP, A2, D5, IT2",2009-12-01
"1105",1177,"http://epaper.hindustantimes.com/ArticleText.aspx?article=15_12_2009_002_007&kword=&mode=1","IP, IA2, ID6, IT4",2009-12-01
"1106",1178,"http://epaper.hindustantimes.com/ArticleText.aspx?article=15_12_2009_008_012&kword=&mode=1","IP, IA2, ID2, IT6",2009-12-01
"1107",1179,"http://epaper.hindustantimes.com/ArticleText.aspx?article=15_12_2009_013_002&kword=&mode=1","GP, A2, ID5, IT8",2009-12-01
"1108",1180,"http://epaper.hindustantimes.com/ArticleText.aspx?article=15_12_2009_013_001&kword=&mode=1","S, A2, ",2009-12-01
"1109",1181,"http://epaper.livemint.com/ArticleText.aspx?article=15_12_2009_001_028&kword=&mode=1","GP, A2, D5, IT2",2009-12-01
"1110",1182,"http://www.thehindubusinessline.com/2009/12/15/stories/2009121552781500.htm","GP, IA2, ID6, IT2",2009-12-01
"1111",1183,"http://www.hindu.com/2009/12/15/stories/2009121557400800.htm","GP, IA5, IT9",2009-12-01
"1112",1184,"http://www.hindu.com/2009/12/15/stories/2009121560241000.htm","GP, A2, ID2, IT2",2009-12-01
"1113",1185,"http://www.hindu.com/2009/12/15/stories/2009121555631100.htm","GP, IA2, ID2, IT2",2009-12-01
"1114",1186,"http://www.business-standard.com/india/news/brokers-make-mostcarbon-credits/379589/","BZ, IA2, ID6, IT1",2009-12-01
"1115",1187,"http://www.business-standard.com/india/news/un-moots-350-mn-plan-to-provide-clean-energy/379596/","GP, A1, D2+ID2, IT4",2009-12-01
"1116",1189,"http://lite.epaper.timesofindia.com/getpage.aspx?pageid=15&pagesize=&edid=&edlabel=CAP&mydateHid=16-12-2009&pubname=&edname=&publabel=TOI","GP, A2, IT9",2009-12-01
