link_works,repeat,date,Month,Year,Publications,Source,author,City,headline,content,Link,url,theme,theme2,oldtheme,oldtheme2,oldtheme3,impact location if intl,source of the reports,Source of news-gathering,News Initiating body,,,Passive,Types of talking heads,,,TONE,"sub-national policies or impacts (state, city, ecosystem)",name,equity & justice/ burden sharing,problem or the ask,,,temp ambition,Mit or Adpt,default adaptation (communities adaptive approaches) or maladaptation (poor devp choiceS),NAPCC/SAPCC,CO-BENEFITS,IPCC AR5,"COP number (about or around specific cop),COP(in general)","NON-COP CONVENTIONS (G20, BASIC meet, Montreal protocol)",fulltext,RS/LS
,,16,Sept,2017,HDU,AP,,Anchorage,ˆ Whatês happening to the walruses?,"Recently, over 60 young walruses died in Alaska. Conservationists wonder if a stampede caused it",http://www.thehindu.com/todays-paper/tp-in-school/whats-happening-to-the-walruses/article19695064.ece,http://www.thehindu.com/todays-paper/tp-in-school/whats-happening-to-the-walruses/article19695064.ece,GS,,S,,,US,A1,B5,C1,,U.S. Fish and Wildlife Service,,D2,,,T1,,,,,,,,,,,,,,,,
,Extra,16,Sept,2017,MNT,PTI,,new Delhi,ˆ Global warming a message from God for course correction: Harsh Vardhan,"Lessons taught by ancestors on conserving environment have been forgotten and global warming ¥is a message from Godê, says Union environment minister Harsh Vardhan.",http://www.livemint.com/Politics/UnodzpnUUKQ19jQPYoMiMI/Global-warming-a-message-from-God-for-course-correction-Har.html,http://www.livemint.com/Politics/UnodzpnUUKQ19jQPYoMiMI/Global-warming-a-message-from-God-for-course-correction-Har.html,MPT,,IP,GP,,IND,IA1,B1,IC1,,Union environment minister Harsh Vardhan ON ANNIV OF MONTREAL PROTOCOL,,ID2,,,IT6,,,,,,,,mit,,,,,,Montreal,,
,Extra,16,Sept,2017,ET,AP,,Cheyenne,ˆ Environmentalists get win in US coal-climate change lawsuit,"Handing a major victory to environmentalists, a court cast doubt Friday on a longstanding U.S. government argument that blocking federal coal leasing won't affect climate change because the coal could simply be mined elsewhere.",http://energy.economictimes.indiatimes.com/news/coal/environmentalists-get-win-in-us-coal-climate-change-lawsuit/60706541,http://energy.economictimes.indiatimes.com/news/coal/environmentalists-get-win-in-us-coal-climate-change-lawsuit/60706541,GPL,,GP,,,US,A1,B11,C11,,US coal-climate change lawsuit,,D3,D6,,T6,,,,,,,,,,,,,,,,
,,30,Sept,2017,HDU,Reporter,T. NandakumaR,THIRUVANANTHAPURAM,Climate change: State to formulate fresh response,DoECC to focus on reassessing the vulnerable sectors,http://www.thehindu.com/news/national/kerala/climate-change-state-to-formulate-fresh-response/article19777979.ece,http://www.thehindu.com/news/national/kerala/climate-change-state-to-formulate-fresh-response/article19777979.ece,IPL,,IP,,,IND,IA2,IB1,IC6,IC1,Govt of kerala on SAPCC,,ID2,ID5,,IT6,SB,Kerala,,,,,,,,SAPCC,,,,,,
,,29,Sept,2017,HT,Reporter,Malavika Vyawahare,new Delhi,ˆ India saw largest rise in GHG emissions in 2016 among major emitters,"Indiaês greenhouse gas emissions rose by an alarming 4.7% in 2016, compared to the previous year, the report released by Netherlands Environmental Assessment Agency on Thursday, said.",http://www.hindustantimes.com/india-news/india-among-highest-greenhouse-gas-emitters-in-2016-big-coal-consumer/story-juJex1dknBvLxmQ275YN0K.html,http://www.hindustantimes.com/india-news/india-among-highest-greenhouse-gas-emitters-in-2016-big-coal-consumer/story-juJex1dknBvLxmQ275YN0K.html,MPT,,IP,GP,,IND,IA2,B1,C1,IC1,Netherlands Environmental Assessment Agency on India's emissions,,,,,IT6,,,BP,INP,ACIC,,,,,,,,COP,,,
,,29,Sept,2017,MNT,Editorial,,,ˆ Climate change is going to hit the Indian economy hard,Countries located in areas with higher temperature will face disproportionate impact of global warming.,http://www.livemint.com/Opinion/E3GJKJDGndRkk8z13XohLO/Climate-change-is-going-to-hit-the-Indian-economy-hard.html,http://www.livemint.com/Opinion/E3GJKJDGndRkk8z13XohLO/Climate-change-is-going-to-hit-the-Indian-economy-hard.html,IS,IP,S,IP,,IND,IA4,B1,C3,,World Economic Outlook of the International Monetary Fund (IMF),,D4,,,IT1,,,BP,FIN,TMP,,PAR,M&A,,,,,COP,,,
,Extra,29,Sept,2017,ET,AFP,,Paris,ˆ Planet-warming methane emissions from livestock underestimated: study,"Emissions of the greenhouse gas methane from livestock are larger than previously thought, posing an additional challenge in the fight to curb global warming, scientists said Friday.",http://energy.economictimes.indiatimes.com/news/renewable/planet-warming-methane-emissions-from-livestock-underestimated-study/60880554,http://energy.economictimes.indiatimes.com/news/renewable/planet-warming-methane-emissions-from-livestock-underestimated-study/60880554,SS,,S,,,GLO,A1,B4,C1,C6,USDA,,D5,,,T1,,,,,,,NO2,,,,,IPCC,COP,,,
,Extra,29,Sept,2017,BS,IANS,,New York,ˆ Tropical forests now emit more CO2 than they remove,"Long thought to be a carbon sink, the world's tropical forests now release more carbon dioxide (CO2) in the atmosphere than they remove from it, thanks to their continued deforestation and degradation, warns a new study.",http://www.business-standard.com/article/news-ians/tropical-forests-now-emit-more-co2-than-they-remove-117092900611_1.html,http://www.business-standard.com/article/news-ians/tropical-forests-now-emit-more-co2-than-they-remove-117092900611_1.html,GS,,S,,,GLO,IA1,B4,C6,,Woods Hole Research Center in Massachusetts,,D5,,,T1,,,,,,,,,,,,,,,,
,,2,Oct,2017,HT,Reporter,Malavika Vyawahare,new Delhi,"Indiaês new wildlife plan focuses on climate change, landscape management","For the first time the plan incorporates areas like the impact of climate change on wildlife and habitats, and landscape management.",http://www.hindustantimes.com/environment/india-s-new-wildlife-plan-focuses-on-climate-change-landscape-management/story-LQ9UY03ZlzAhBBSlSTQuZL.html,http://www.hindustantimes.com/environment/india-s-new-wildlife-plan-focuses-on-climate-change-landscape-management/story-LQ9UY03ZlzAhBBSlSTQuZL.html,,,IP,,,IND,IA2,B1,IC1,,"environment ministry launched its third wildlife action plan,",,ID2,ID5,,IT6,,,,,,,,Adpt,,,,,,,,
,,2,Oct,2017,MNT,nO byline,,,India among the worst affected by climate change: IMF study,A one degree rise in temperature can cause Indiaês per capita output to fall by 1.33 percentage points,http://www.livemint.com/Money/EVXgRBIeDmmjLRxEYrukbI/India-among-the-worst-affected-by-climate-change-IMF-study.html,http://www.livemint.com/Money/EVXgRBIeDmmjLRxEYrukbI/India-among-the-worst-affected-by-climate-change-IMF-study.html,,,GS,,,GLO,IA2,B1,C3,,IMF STUDY,,D4,,,T1,,,,,,,,,,,,,,,,
,,2,Oct,2017,TOI,Reporter,Neha Madaan,PUNE,Negative rainfall in 8 out of 14 normal monsoons in 18 years,"Data from the India Meteorological Department (IMD) revealed majority of monsoons over the past 18 years had been below average like 2017, which ended on a below average note at -5% departure.",http://timesofindia.indiatimes.com/city/pune/negative-rainfall-in-8-out-of-14-normal-monsoons-in-18-years/articleshow/60916411.cms,http://timesofindia.indiatimes.com/city/pune/negative-rainfall-in-8-out-of-14-normal-monsoons-in-18-years/articleshow/60916411.cms,IS,,IS,,,IND,IA2,IB1,IC7,,IMD rainfall,,ID1,,,IT6,,,,,,,,,,,,,,,,
,Extra,2,Oct,2017,BS,PTI,,Panaji,Goa's ambitious Solar Policy to be notified this week: Min,The draft policy was approved by the state cabinet in July this year after which it was open for suggestions from the general public and stakeholders.,http://www.business-standard.com/article/pti-stories/goa-govt-s-ambitious-solar-policy-to-be-notified-this-week-min-117100100319_1.html,http://www.business-standard.com/article/pti-stories/goa-govt-s-ambitious-solar-policy-to-be-notified-this-week-min-117100100319_1.html,IPE,,IP,,,IND,IA2,IB1,IC1,,Goa solar,,ID2,,,IT4,SB,Goa,,,,,,Mit,,,COB BAU,,,,,
,Extra,2,Oct,2017,HT,Reporter,Snehal Fernandes,Mumbai,Only one of four river basins in India can support vegetation during a drought year: Study,The findings assume importance since previous studies have reported an increase in the intensity and frequency of droughts in India,http://www.hindustantimes.com/mumbai-news/only-one-of-four-river-basins-in-india-can-support-vegetation-during-a-drought-year-study/story-otUxdqAc0XNqozTVCZ9FEI.html,http://www.hindustantimes.com/mumbai-news/only-one-of-four-river-basins-in-india-can-support-vegetation-during-a-drought-year-study/story-otUxdqAc0XNqozTVCZ9FEI.html,IS,,IS,,,IND,IA2,IB4,IC6,,IIT study on crop resilience in India,,ID5,,,IT1,,,,,,,,Adpt,,,,,,,,
,,16,Oct,2017,TOI,Reporter,U Sudhakar Reddy,HYderabad,Experts push for Surat model to curb flooding,The Telangana government and GHMC must adopt the Surat model to build a resilient city given an increase in erratic rainfall leading to flooding of colonies.,https://timesofindia.indiatimes.com/city/hyderabad/experts-push-for-surat-model-to-curb-flooding/articleshow/61095765.cms,https://timesofindia.indiatimes.com/city/hyderabad/experts-push-for-surat-model-to-curb-flooding/articleshow/61095765.cms,IPL,,IP,,,IND,IA2,IB1,IC6,,RESILIENT TELENGANA Administrative Staff College of India,,ID5,ID2,,IT6,SB,Telengana,,,,,,Adpt,,,,,,,,
,,17,Oct,2017,ET,Reporter,"Ishita Bhatia, Arvind Chauhan",Gaumukh,ˆ Debris alters course of Ganga near Gaumukh,The snout of the Gangotri glacier - Gaumukh - from where the Ganga river emerges has been so impacted by debris falling from nearby areas due to landslides that it has altered the course of the river.,https://economictimes.indiatimes.com/news/environment/global-warming/debris-alters-course-of-ganga-near-gaumukh/articleshow/61109748.cms,https://economictimes.indiatimes.com/news/environment/global-warming/debris-alters-course-of-ganga-near-gaumukh/articleshow/61109748.cms,IS,,IS,,,IND,IA2,IB5,IC6,,Gaumukh crack,,ID5,,,IT1,,,,,,,,,,,,,,,,
,,17,Oct,2017,IE,AP,,Seoul,ˆ Greenpeace faults many tech giants for environment impact,"The environmental group Greenpeace issued a report on Tuesday giving technology titans including Samsung Electronics, Amazon and Huawei low marks for their environmental impact.",http://indianexpress.com/article/technology/science/greenpeace-faults-many-tech-giants-for-environment-impact-4894788/,http://indianexpress.com/article/technology/science/greenpeace-faults-many-tech-giants-for-environment-impact-4894788/,GBBZ,,BZ,,,GLO,A1,B1,C4,C5,Greenpeace on Cos,,D3,,,T8,,,,,,,,mit,,,,,,,,
,Extra,17,Oct,2017,ET,Reuters,,Beijing,ˆ China needs tougher clean fuel targets to meet Paris climate pact -report,"China's capacity for renewable energy, including hydro, wind and solar, will significantly exceed Beijing's own target set in the five-year plan to 2020, according to the report jointly issued by China National Renewable Energy Centre (CNREC) and the Energy Research Institute of Academy of Macroeconomic Research.",https://energy.economictimes.indiatimes.com/news/renewable/china-needs-tougher-clean-fuel-targets-to-meet-paris-climate-pact-report/61104804,https://energy.economictimes.indiatimes.com/news/renewable/china-needs-tougher-clean-fuel-targets-to-meet-paris-climate-pact-report/61104804,GPL,,GP,,,DC,A1,B1,C1,,China RE targets,,D2,,,T6,,,,,,,,mit,,,,,COP,,,
,,30,Oct,2017,HDU,AFP,,,ˆ Concentration of CO2 in atmosphere hits record high: UN,"_Globally averaged concentrations of CO2 reached 403.3 parts per million in 2016, up from 400.00 ppm in 2015.Ó",http://www.thehindu.com/sci-tech/science/concentration-of-co2-in-atmosphere-hits-record-high-un/article19949324.ece,http://www.thehindu.com/sci-tech/science/concentration-of-co2-in-atmosphere-hits-record-high-un/article19949324.ece,GS,SS,S,,,GLO,A1,B1,C2,,WMO on emissions rise,,D4,,,T1,,,BP,MCOP,TMP,,,mit,,,,,COP,,,
,,30,Oct,2017,ET,PTI,,New York,ˆ Climate change may slowly starve bamboo lemurs: Study,"Climate changes may be forcing bamboo lemurs - one of the most endangered primate species on Earth - to change their dietary habits, causing them to slowly starve, an international study warns.",https://economictimes.indiatimes.com/news/environment/flora-fauna/climate-change-may-slowly-starve-bamboo-lemurs-study/articleshow/61342876.cms,https://economictimes.indiatimes.com/news/environment/flora-fauna/climate-change-may-slowly-starve-bamboo-lemurs-study/articleshow/61342876.cms,GS,,S,,,GLO,IA1,B4,C7,,Lemurs and CC,,D1,,,T1,,,,,,,,,,,,,,,,
,,30,Oct,2017,TOI,reporter,Vijay Pinjarkar,Nagpur,ˆ Maharashtraês climate change policy asks districts to prepare management plan,"Faced with unseasonal hailstorms, wet and dry droughts, and damage to eco-systems, the state government has finally come out with a climate change policy.",https://timesofindia.indiatimes.com/city/nagpur/states-climate-change-policy-asks-districts-to-prepare-mgmt-plan/articleshow/61327638.cms,https://timesofindia.indiatimes.com/city/nagpur/states-climate-change-policy-asks-districts-to-prepare-mgmt-plan/articleshow/61327638.cms,IPL,,IP,,,IND,IA2,IB1,IC1,,Maha climate policy,,ID2,,,IT6,SB,Maharastra,,,,,,Adpt,,SAPCC,,,,,,
,Extra,30,Oct,2017,TOI,reporter,Clara Lewis,Mumbai,"ˆ Thane district's share in Maha GDP on rise, may overtake Mumbai's in future","Thane district is expected to replace Greater Mumbai as the prime economic hub of the state. The projection has been made by The Energy and Resource Institute (TERI), Delhi, in its report 'Assessing Climate Change Vulnerability and Adaptation Strategies for Maharashtra'.",https://timesofindia.indiatimes.com/city/mumbai/greater-mumbai-slowing-down-thane-districts-economy-may-double-in-future/articleshow/61327887.cms,https://timesofindia.indiatimes.com/city/mumbai/greater-mumbai-slowing-down-thane-districts-economy-may-double-in-future/articleshow/61327887.cms,IS,,IS,,,IND,IA2,IB1,IC6,,teri's VRA for Maha,,ID5,,,IT1,,,,,,,,,,,,,,,,
,,2,Nov,2017,HDU,Reporter,Vidya Venkat,Chennai,UN says carbon emissions gap could affect climate target,Paris Agreement pledges leave deficit that could raise temperature by 3çC,http://www.thehindu.com/sci-tech/energy-and-environment/un-predicts-3c-temperature-rise-by-end-of-the-century/article19961730.ece,http://www.thehindu.com/sci-tech/energy-and-environment/un-predicts-3c-temperature-rise-by-end-of-the-century/article19961730.ece,GPT,,GP,,,ACDC,IA2,B1,C2,,UN emissions gap report,,D4,,,T1,,,BP,FIN,TMP,,NO2,MIT,,,,,COP,,,
,,2,Nov,2017,BS,Reporter,Jyoti Mukul,New Delhi,Revolving fund for energy efficiency launched; five cities to benefit,"Major portion of GEF financing would come from Asian Development Bank; 5 cities to get global help for cooling, heating systems",http://www.business-standard.com/article/economy-policy/revolving-fund-for-energy-efficiency-launched-five-cities-to-benefit-117110101282_1.html,http://www.business-standard.com/article/economy-policy/revolving-fund-for-energy-efficiency-launched-five-cities-to-benefit-117110101282_1.html,IPL,,IP,,,IND,IA2,B1,C3,IC1,GEF EESL,,D4,ID2,,IT4,CY,"Bhopal, Pune, Coimbatore, Thane, and Rajkot.",,,,,,MIT,,,,,,,,
,,2,Nov,2017,IE,PTI,,Washington,Climate change has enormous implications in Himalayas: Senator,"Aparna Pande, director of Hudson's India Initiative, said that weak states and contested sovereignties across the Himalayas have induced a number of regional actors to seek deeper physical and economic connectivity within the region through new infrastructure that supports transportation needs, trade and commerce, and access to resources.",http://indianexpress.com/article/world/climate-change-has-enormous-implications-in-himalayas-senator-4918699/,http://indianexpress.com/article/world/climate-change-has-enormous-implications-in-himalayas-senator-4918699/,GPT,IS,GP,IS,,DC,IA1,B1,C1,IC1,,,D2,,,T1,,,,,,,,,,,,,,,,
,,2,Nov,2017,HBL,no byline,,New Delhi,Come on board the solar alliance: Jaitley to multilateral banks,EBRD and ISA sign joint financial partnership declaration,http://www.thehindubusinessline.com/economy/come-on-board-the-solar-alliance-jaitley-to-multilateral-banks/article9939982.ece,http://www.thehindubusinessline.com/economy/come-on-board-the-solar-alliance-jaitley-to-multilateral-banks/article9939982.ece,MPL,,GP,IP,,ACDC,IA2,IB1,IC1,C3,MDBs and ISA,,ID2,,,IT6,,,,,,,,MIT,,,,,COP,,,
,,16,Nov,2017,ET,Reporter,Anisha Dutta,New Delhi,EBRD inks pact with International Solar Alliance for cooperation in solar energy,"India, under the leadership of PM Modi, has pledged unequivocal commitment for furthering the cause of new and renewable energy since the Paris COP21 UN Climate Change Conference,Ó Jaitley said.",https://energy.economictimes.indiatimes.com/news/renewable/ebrd-inks-pact-with-international-solar-alliance-for-cooperation-in-solar-energy/61457731,https://energy.economictimes.indiatimes.com/news/renewable/ebrd-inks-pact-with-international-solar-alliance-for-cooperation-in-solar-energy/61457731,MPL,,GP,IP,,ACDC,IA2,IB1,IC1,C3,MDBs and ISA,,ID2,,,IT6,,,,,,,,MIT,,,,,COP,,,
,,16,Nov,2017,IE,Reporter,AMItabh Sinha,Bonn,"Bonn climate change conference: Big win for India and developing countries, key demands on ¥pre-2020 actionsê likely to be met",Right from the first day of the conference a negotiating group of more than 20 countries had demanded that 'pre-2020 actions' be included in the official agenda of discussions.,http://indianexpress.com/article/world/bonn-climate-change-conference-big-win-for-india-and-developing-countries-key-demands-on-pre-2020-actions-likely-to-be-met-4939032/,http://indianexpress.com/article/world/bonn-climate-change-conference-big-win-for-india-and-developing-countries-key-demands-on-pre-2020-actions-likely-to-be-met-4939032/,GPT,,GP,,,ACDC,IA2,BCOP,C2,IC1,,,ID2,,,IT4,,,BP,UNFCCC,FIN,,,mit,,,,,COP23,,,
,,16,Nov,2017,FE,Reuters,,,Manage climate risks or face much more hunger by 2050: United Nations,"Climate change threats, from worsening drought and flooding to sea level rise, could increase the risks of hunger and child malnutrition around the world by 20 percent by 2050, food security researchers warned Wednesday.",http://www.financialexpress.com/world-news/manage-climate-risks-or-face-much-more-hunger-by-2050-united-nations/934647/,http://www.financialexpress.com/world-news/manage-climate-risks-or-face-much-more-hunger-by-2050-united-nations/934647/,GS,,S,,,ACDC,A1,B1,C2,,World Food Programme (WFP),D4,D2,,,T1,,,,,,,,Adpt,,,,,,,,
,,16,Nov,2017,ET,Reporter,Hari Pulakkat,,Global warming: Time is running out,"Demonetisation and GST may have had a positive and negative impact on the Indian economy, but no one would have thought that reducing Indiaês carbon emissions growth would be one of its benefits. Yet, that was one of the major fallouts of the combo regulation, even as global carbon emissions continued to grow this year.",https://economictimes.indiatimes.com/articleshow/61664834.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,https://economictimes.indiatimes.com/articleshow/61664834.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,GS,,S,,,GLO,IA2,B4,C6,,country emissions,ID5,ID10,,,,,,,,,,NO2,mIT,,,,,COP23,,,
,,30,Nov,2017,TOI,No byline,,Kolkata,¥Role of states key in climate plansê,"An economist who was part of Intergovernmental Panel on Climate Change (IPCC), which was awarded the 2007 Nobel Peace Prize, says it is imperative that cities and states participate in India's climate response action plans and have a say in the commitments made at the global level.",https://timesofindia.indiatimes.com/city/kolkata/role-of-states-key-in-climate-plans/articleshow/61856604.cms,https://timesofindia.indiatimes.com/city/kolkata/role-of-states-key-in-climate-plans/articleshow/61856604.cms,IPT,,IP,,,IND,IA2,B3,IC6,IC1,WB govt participation in COP,ID6,,,,IT8,"SB, CY","Kolkata, WB",,,,,,mit,,SAPCC,,,COP23,,,
,,30,Nov,2017,TOI,No byline,,Shimla,HP faces challenge of climate change,"Himachal Pradesh is facing impacts of climate change as temperatures are rising and rainfall as well as snowfall are becoming erratic, affecting agriculture, horticulture and livelihoods.",https://timesofindia.indiatimes.com/city/shimla/hp-faces-challenge-of-climate-change/articleshow/61856255.cms,https://timesofindia.indiatimes.com/city/shimla/hp-faces-challenge-of-climate-change/articleshow/61856255.cms,IS,,IS,,,IND,IA2,IB6,IC7,IC6,HP cc impacts,ID1,ID5,,,IT1,SB,Himachal Pradesh,,,,,,,,,,,,,,
,,30,Nov,2017,HT,Reporter,Malavika Vyawahare,,"Amid Paris deal row, India eyes nearly $3 trillion investment to achieve climate goals","With the US pulling out of the climate deal, many developing countries fear that funds will be hard to come by.",http://www.hindustantimes.com/india-news/amid-paris-deal-row-india-eyes-nearly-3-trillion-investment-to-achieve-climate-goals/story-KYvGQLQlM5ae1m2bSgRAEP.html,http://www.hindustantimes.com/india-news/amid-paris-deal-row-india-eyes-nearly-3-trillion-investment-to-achieve-climate-goals/story-KYvGQLQlM5ae1m2bSgRAEP.html,IPL,,IP,,,IND,IA2,IB1,IC1,C3,"Climate Business Forum, organised by the International Finance Corporation (IFC).",ID2,,,,IT6,,,BP,FIN,IFIN,TMP,,MIT,,,,,,,,
,,30,Nov,2017,ET,IANS,,New Delhi,India presents $3.1 tn climate investment opportunities till 2030: IFC,"India's ambitious plans to meet its climate targets under the Paris Agreement represent about $3.1 trillion worth of investment opportunities by 2030, a report by the International Finance Corporation (IFC) said on Thursday.",https://energy.economictimes.indiatimes.com/news/renewable/india-presents-3-1-tn-climate-investment-opportunities-till-2030-ifc/61867402,https://energy.economictimes.indiatimes.com/news/renewable/india-presents-3-1-tn-climate-investment-opportunities-till-2030-ifc/61867402,MPL,,IP,GP,,DC,IA1,B1,C3,IC1,a report by the International Finance Corporation (IFC),ID4,,,,IT4,,,BP,FIN,IFIN,,,MIT,,,COB BAU,,,,,
,,2,Dec,2017,IE,PTI,,New Delhi,India can provide sustainability model to world: Sweden,The climate change envoy also said that India is on the growth path to address needs of a large population and meet the Sustainable Development Goals (SDGs) by 2030.,http://indianexpress.com/article/india/india-can-provide-sustainability-model-to-world-sweden-4964742/,http://indianexpress.com/article/india/india-can-provide-sustainability-model-to-world-sweden-4964742/,MPL,,IP,GP,,IND,IA1,IB1,C1,,INDIA SWEDEN,D2,,,,IT4,,,,,,,,miT,,,,,,,,
,,2,Dec,2017,ET,Reporter,Urmi A Goswami,,"Indiaês renewable energy push, if done properly, could mean a lot of jobs","Implemented properly, Indiaês renewable energy push could do more than just slow down global warming. It could help pull millions out of poverty, especially in rural communities.",https://economictimes.indiatimes.com/articleshow/61886730.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,https://economictimes.indiatimes.com/articleshow/61886730.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,IPL,,IP,,,IND,IA2,IB4,IC6,C6,"WRI, CEEW, NRDC",ID5,ID2,,,IT4,,,,,,,,mit,,,COB BAU,,COP23,,,
,,2,Dec,2017,IE,Reporter,ANJALI MARAR |,PUNE,"Climate change impact on wind speed may lead to more power generation, says IIT-B study","The IIT-B study also derived that wind potential is set to increase substantially over the next three decades, with Rameshwaram topping at 29 per cent higher wind energy generation capacity, followed by Jakhau (24 per cent) and Kanyakumari (19 per cent).",http://indianexpress.com/article/research/climate-change-impact-on-wind-speed-may-lead-to-more-power-generation-says-iit-b-study-4964193/,http://indianexpress.com/article/research/climate-change-impact-on-wind-speed-may-lead-to-more-power-generation-says-iit-b-study-4964193/,IS,,S,,,IND,IA2,IB4,IC7,,"IITM, IIT B",ID5,ID1,,,IT4,,,,,,,,mit,,,,,,,,
,,2,Dec,2017,FE,IANS,,,"Raise a toast, US President Donald Trump is all for this climate treaty","When the UN conference on the Montreal Protocol on the substances that deplete the ozone layer ended in Montreal on November 24, albeit in the wee hours of November 25, I thought this could also be said for Paris and Montreal, not only because of the French language but also the agreements signed there on global action on the climate.",http://www.financialexpress.com/world-news/raise-a-toast-us-president-donald-trump-is-all-for-this-climate-treaty/957763/,http://www.financialexpress.com/world-news/raise-a-toast-us-president-donald-trump-is-all-for-this-climate-treaty/957763/,GPT,,GP,,,US,IA1,B3,C1,C2,Montreal protocol,D4,D2,,,T4,,,BP,CLP,FIN,,PAR,Mit,,,,,COP,Montreal protocol,,
,,16,Dec,2017,FE,Editorial,,,Climate change: 2017 has been a bad year for sea-ice spread,"Although climate change deniers number too many for the Earthês well-being‹Donald Trump, president of the US, the largest carbon emitter in the world, is one‹and there are others who downplay the risks from this, the latest report of the USês National Oceanic and Atmospheric Administration (NOAA) shows how worrying this has become.",http://www.financialexpress.com/opinion/climate-change-2017-has-been-a-bad-year-for-sea-ice-spread/976194/,http://www.financialexpress.com/opinion/climate-change-2017-has-been-a-bad-year-for-sea-ice-spread/976194/,GS,DKS,S,,,POL,IA1,B6,C1,C7,,,,,,T1,,,,,,,NO2,mit,,,COB BAU,,COP,,,
,,16,Dec,2017,HBL,Reporter,V RISHI KUMAR,hyderabad,Renewable Energy Ministry proposes to provide big push for solar manufacturing,"Subsidy proposals include 30 per cent financial assistance, duty exemption and low interest rates",http://www.thehindubusinessline.com/news/renewable-energy-ministry-proposes-to-provide-big-push-for-solar-manufacturing/article9995410.ece,http://www.thehindubusinessline.com/news/renewable-energy-ministry-proposes-to-provide-big-push-for-solar-manufacturing/article9995410.ece,TRC,,IP,,,IND,IA2,IB1,IC1,IC8,MNRE,ID2,,,,IT6,,,,,,,,mit,,,,,,,,
,,17,Dec,2017,ET,IANS,,Ottawa,Starving' polar bear provokes climate change dialogue,A video on a starving polar bear in northern Canada's Nunavut region has led to concerns on climate change as well as doubts about the real cause of the beast's emaciation.,https://economictimes.indiatimes.com/articleshow/62107344.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,https://economictimes.indiatimes.com/articleshow/62107344.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst,GTD,,TD,,,POL,IA1,B2,C8,,polar bear pic/ docu,D8,D3,,,T5,,,,,,,,,,,,,,,,
,,17,Dec,2017,FE,No byline,,,"Global warming to weaken wind power, a study predicts",The talk about renewable energy is centred around its impact on global warming.,http://www.financialexpress.com/lifestyle/science/global-warming-to-weaken-wind-power-a-study-predicts/977223/,http://www.financialexpress.com/lifestyle/science/global-warming-to-weaken-wind-power-a-study-predicts/977223/,GS,,S,,,GLO,IA2,B4,C6,,,,,,,T6,,,,,,,,MIT,,,,,,,,
,,30,Dec,2017,BS,ANI,,Washington,Charcoal remains after fires accelerate CO2 emissions in boreal forests,A study has recently revealed that charcoal remains after a forest fire may help decompose fine roots in the soil and consequently accelerate CO2 emissions in boreal forests.,,,GS,,S,,,GLO,IA1,B4,C6,,,,,,,,,,,,,,,MIT,,,,,,,,
,,29,Dec,2017,IE,No byline,,New Delhi,"¥Coldê East Coast could use a little bit of ¥good old global warmingê, tweets Donald Trump","Donald Trump tweeted, ""In the East, it could be the COLDEST New Yearês Eve on record.""",,,KS,GPT,GP,,,US,IA2,B1,C1,,Trump skeptic,D2,,,,T5,,,BP,FIN,RAW,,,,,,,,COP,,,
,,29,Dec,2017,HT,AFP,,Washington,"Could use a little global warming, says Donald Trump as cold wave hits America","In New York, Governor Andrew Cuomo earlier warned residents to prepare for ¥dangerously cold weather,ê with below-normal temperatures expected to be between minus 12.7 C and minus 6.6 C through Saturday.",,,DKS,GS,S,,,US,A1,B1,C1,,,D2,D5,,,T2,,,,,,,,,,,,,,,,
,repeat,29,Dec,2017,TOI,no byline,,New Delhi,Extreme cold wave? Donald Trump jokes that global warming may help,US President Donald Trump today mocked the science-backed global warming theory and joked that the alarming rise in the Earth's temperature may bring relief to those reeling under a cold wave on the country's east coast.,,,DKS,GPT,GP,,,US,IA2,B1,C1,,Trump skeptic,D2,,,,T2,,,BP,FIN,RAW,,,,,,,,COP,,,
,,28,Dec,2017,,Reporter,V SAJEEV KUMAR,kochi,"Volatile prices, climate change sap rubber industryês prospects",The year 2017 has not brought any cheer to the rubber industry as troubles such as price crash and production loss due to climate change continue to haunt the 10-lakh odd growers especially in the small and medium segment.,,,IS,,IS,,,IND,IA2,B5,IC9,,,ID7,ID5,,,IT1,SB,KERALA,,,,,,Adpt,,,,,,,,
,,2,Jan,2012,HT,Reporter,Tushar Srivastava,,EU carbon tax: stern govt summons European airlines,Tushar Srivastava: The civil aviation ministry has decided to summon country heads of all European carriers flying to India over a controversial European Union (EU) tax that would be imposed on Indian carriers from January 1.,http://www.hindustantimes.com/india/eu-carbon-tax-stern-govt-summons-european-airlines/story-Y5cwP6QZxrAvyuA9YoZpCN.html,http://www.hindustantimes.com/india/eu-carbon-tax-stern-govt-summons-european-airlines/story-Y5cwP6QZxrAvyuA9YoZpCN.html,MPT,TRC,GP,IP,,ACDC,IA2,IB9,IC1,C1,Govt of India and EU,,ID2,,,IT3,,,,BP,TIN,,,Mit,,,,,,,,
